pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
pd        	ADNI_073_S_4795_MR_MPRAGE_br_raw_20131206170743804_166_S207715_I400951.nii.gzConfidences: 68.09, 14.13, 17.78
t2        	ADNI_029_S_0999_MR_Axial_PD_T2_FSE__br_raw_20061201100622693_1_S23247_I31237.nii.gzConfidences: 29.18,  6.47, 64.35
pd        	ADNI_067_S_1185_MR_MPRAGE_br_raw_20070104095346519_63_S24635_I35153.nii.gzConfidences: 90.48,  6.04,  3.48
pd        	ADNI_031_S_2233_MR_MPRAGE_br_raw_20140227162454527_50_S213460_I415615.nii.gzConfidences: 57.69, 16.45, 25.87
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20091201142716507_1_S76840_I159946.nii.gzConfidences: 17.53,  7.62, 74.85
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20091116094148754_95_S76465_I159284.nii.gzConfidences: 33.12, 10.33, 56.55
pd        	ADNI_036_S_4894_MR_MPRAGE_br_raw_20120810124944746_175_S160488_I323094.nii.gzConfidences: 60.38, 38.30,  1.31
pd        	ADNI_072_S_4769_MR_MPRAGE_br_raw_20130123131612323_132_S180722_I355868.nii.gzConfidences: 67.08, 28.61,  4.30
pd        	ADNI_073_S_4360_MR_MPRAGE_br_raw_20130227191348310_73_S183342_I361561.nii.gzConfidences: 72.28, 26.05,  1.67
pd        	ADNI_019_S_5019_MR_MPRAGE_br_raw_20121108144452760_162_S173809_I345563.nii.gzConfidences: 61.75, 22.95, 15.30
pd        	ADNI_011_S_0856_MR_MPRAGE_br_raw_20080319090000007_1_S47262_I98960.nii.gzConfidences: 90.90,  7.32,  1.78
t2        	ADNI_109_S_4594_MR_AXIAL_T2-FSE_WITH_FAT_SAT__br_raw_20150506110819856_3_S257726_I489741.nii.gzConfidences: 32.44, 18.54, 49.03
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20080305203620531_98_S46664_I95385.nii.gzConfidences: 81.69,  5.84, 12.47
pd        	ADNI_123_S_4806_MR_MPRAGE_br_raw_20140902115217092_44_S229915_I442383.nii.gzConfidences: 77.34, 21.65,  1.01
pd        	ADNI_128_S_4603_MR_MPRAGE_br_raw_20120409084953060_103_S146618_I296456.nii.gzConfidences: 63.50, 31.11,  5.38
t2        	ADNI_027_S_1082_MR_Axial_PD_T2_FSE__br_raw_20061127172436408_1_S22936_I30541.nii.gzConfidences: 19.43, 11.53, 69.04
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20111017102148559_47_S125414_I261108.nii.gzConfidences: 15.55,  4.72, 79.73
pd        	ADNI_137_S_0994_MR_MPRAGE_br_raw_20121114131655021_169_S174512_I346548.nii.gzConfidences: 74.10, 24.62,  1.28
t2        	ADNI_127_S_1382_MR_Axial_PD_T2_FSE__br_raw_20071022135130210_89_S41758_I78249.nii.gzConfidences: 26.64,  5.30, 68.06
pd        	ADNI_073_S_4360_MR_MPRAGE_br_raw_20140113133745557_72_S210056_I404556.nii.gzConfidences: 74.02, 22.87,  3.10
pd        	ADNI_036_S_4715_MR_MPRAGE_br_raw_20121127152230455_170_S175532_I348035.nii.gzConfidences: 73.45, 22.05,  4.50
pd        	ADNI_128_S_4607_MR_MPRAGE_br_raw_20120628122548116_6_S155889_I313318.nii.gzConfidences: 77.80, 19.31,  2.89
t2        	ADNI_126_S_4891_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130827154228021_36_S199424_I387643.nii.gzConfidences: 32.49, 29.92, 37.59
pd        	ADNI_036_S_4562_MR_MPRAGE_br_raw_20121010144434513_3_S170366_I339371.nii.gzConfidences: 80.59, 18.41,  1.00
t1        	ADNI_005_S_4707_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130618153108983_42_S192635_I377094.nii.gzConfidences: 41.16, 43.44, 15.40
pd        	ADNI_013_S_2324_MR_MPRAGE_br_raw_20111018125913267_61_S125575_I261321.nii.gzConfidences: 65.50, 12.85, 21.65
pd        	ADNI_023_S_1104_MR_MPRAGE_br_raw_20061116082948343_1_S22578_I29738.nii.gzConfidences: 79.96, 10.23,  9.81
pd        	ADNI_037_S_4146_MR_MPRAGE_br_raw_20120919150638458_166_S168066_I335467.nii.gzConfidences: 71.75, 24.07,  4.18
pd        	ADNI_067_S_1185_MR_MPRAGE_br_raw_20070123155949189_63_S25394_I37256.nii.gzConfidences: 65.53, 34.22,  0.26
pd        	ADNI_072_S_4063_MR_MPRAGE_br_raw_20150506140048747_27_S257790_I489820.nii.gzConfidences: 70.17, 23.24,  6.59
pd        	ADNI_073_S_4795_MR_MPRAGE_br_raw_20141205140640986_95_S242482_I460666.nii.gzConfidences: 77.58, 12.13, 10.29
t2        	ADNI_006_S_0322_MR_Axial_PD_T2_FSE__br_raw_20060620104041656_1_S15657_I17195.nii.gzConfidences: 32.72,  3.42, 63.86
t2        	ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20140724182016099_49_S225860_I436757.nii.gzConfidences: 28.71,  5.78, 65.51
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20090817122220067_1_S72474_I153244.nii.gzConfidences: 18.33,  9.21, 72.45
pd        	ADNI_023_S_4448_MR_MPRAGE_br_raw_20120418143224898_33_S147585_I298228.nii.gzConfidences: 66.29, 23.02, 10.69
pd        	ADNI_037_S_4146_MR_MPRAGE_br_raw_20110907163323980_132_S121403_I255004.nii.gzConfidences: 76.22, 19.15,  4.63
pd        	ADNI_010_S_0422_MR_MPRAGE_br_raw_20061130151614534_49_S23188_I31018.nii.gzConfidences: 73.32,  3.94, 22.74
t2        	ADNI_027_S_5093_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140317200713391_31_S214183_I416855.nii.gzConfidences: 37.02, 24.68, 38.30
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20100114163522268_3_S78483_I163764.nii.gzConfidences: 27.08, 15.75, 57.18
pd        	ADNI_031_S_4029_MR_MPRAGE_br_raw_20110428120258332_12_S105514_I229510.nii.gzConfidences: 56.60, 20.31, 23.09
pd        	ADNI_031_S_4590_MR_MPRAGE_br_raw_20120615175051517_6_S154131_I310768.nii.gzConfidences: 54.90, 17.98, 27.12
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20090520145007828_86_S67529_I144297.nii.gzConfidences: 55.29, 44.69,  0.02
t2        	ADNI_027_S_4926_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20121218195441741_8_S178050_I352110.nii.gzConfidences: 34.69, 23.33, 41.98
t2        	ADNI_029_S_0871_MR_Axial_PD_T2_FSE__br_raw_20061219112517328_1_S24244_I33715.nii.gzConfidences: 32.92,  3.81, 63.28
t2        	ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_20060912161946951_29_S18784_I24175.nii.gzConfidences: 20.36,  7.91, 71.73
t2        	ADNI_021_S_0231_MR_Axial_PD_T2_FSE__br_raw_20080312144505489_3_S46937_I96979.nii.gzConfidences: 17.60,  3.35, 79.04
pd        	ADNI_130_S_4468_MR_MPRAGE_br_raw_20120202122146646_16_S139435_I282292.nii.gzConfidences: 42.54, 22.94, 34.52
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20090212160915074_1_S62997_I135882.nii.gzConfidences: 31.90, 10.04, 58.06
t2        	ADNI_094_S_1397_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071120143308278_1_S42908_I82871.nii.gzConfidences: 23.92, 15.85, 60.24
pd        	ADNI_072_S_4769_MR_MPRAGE_br_raw_20130702125620615_131_S193906_I378957.nii.gzConfidences: 64.77, 31.20,  4.04
t2        	ADNI_027_S_4757_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20121213153124598_2_S177561_I351323.nii.gzConfidences: 24.59, 34.27, 41.14
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20080219130755312_98_S45851_I90757.nii.gzConfidences: 74.21, 20.32,  5.47
pd        	ADNI_099_S_0534_MR_MPRAGE_br_raw_20060504132029421_98_S14008_I14611.nii.gzConfidences: 73.71,  9.33, 16.96
pd        	ADNI_067_S_1253_MR_MPRAGE_br_raw_20070306140415638_98_S27559_I42887.nii.gzConfidences: 77.05, 17.99,  4.96
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20070911101517448_154_S17720_I20362.nii.gzConfidences: 81.03, 16.53,  2.43
pd        	ADNI_067_S_4212_MR_MPRAGE_br_raw_20110906150423095_88_S121298_I254860.nii.gzConfidences: 78.35, 17.38,  4.27
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE__br_raw_20070730122103848_97_S36582_I62815.nii.gzConfidences: 19.48,  5.89, 74.64
t2        	ADNI_027_S_5110_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130320162515568_28_S184802_I363816.nii.gzConfidences: 22.74, 33.84, 43.42
pd        	ADNI_114_S_0410_MR_MPRAGE_br_raw_20071102165911464_98_S42230_I80580.nii.gzConfidences: 70.55, 11.29, 18.16
pd        	ADNI_135_S_4954_MR_MPRAGE_br_raw_20120924115236764_47_S168533_I336502.nii.gzConfidences: 76.58, 15.68,  7.75
t1        	ADNI_094_S_4630_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140528082548128_17_S219808_I426583.nii.gzConfidences: 37.54, 45.97, 16.50
pd        	ADNI_116_S_4199_MR_MPRAGE_br_raw_20111130155221265_126_S131380_I269305.nii.gzConfidences: 72.23, 21.80,  5.97
pd        	ADNI_067_S_2304_MR_MPRAGE_br_raw_20140319135917488_149_S214348_I417140.nii.gzConfidences: 68.19, 27.05,  4.76
pd        	ADNI_130_S_4468_MR_MPRAGE_br_raw_20120511115332960_135_S150039_I303042.nii.gzConfidences: 55.56, 19.80, 24.64
t2        	ADNI_127_S_4210_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130927130952162_21_S202360_I392374.nii.gzConfidences: 32.56, 21.71, 45.72
pd        	ADNI_073_S_4552_MR_MPRAGE_br_raw_20130423135748598_4_S187757_I368465.nii.gzConfidences: 75.86, 22.78,  1.36
pd        	ADNI_037_S_4706_MR_MPRAGE_br_raw_20120510114704184_32_S149834_I302741.nii.gzConfidences: 69.16, 20.65, 10.19
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20061211091902960_148_S23743_I32472.nii.gzConfidences: 79.98,  5.85, 14.17
t1        	ADNI_094_S_2201_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140204130816900_35_S211838_I412570.nii.gzConfidences: 31.23, 40.79, 27.98
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20080305100549125_97_S46621_I95313.nii.gzConfidences: 88.76,  8.28,  2.96
pd        	ADNI_019_S_4680_MR_MPRAGE_br_raw_20121030145218294_65_S172697_I343144.nii.gzConfidences: 65.91, 22.92, 11.16
pd        	ADNI_131_S_5138_MR_MPRAGE_br_raw_20130417113829938_29_S187196_I367565.nii.gzConfidences: 75.95,  9.56, 14.49
pd        	ADNI_003_S_0908_MR_MPRAGE_br_raw_20080508160115150_98_S49795_I104926.nii.gzConfidences: 86.26, 10.34,  3.40
pd        	ADNI_036_S_0672_MR_MPRAGE_br_raw_20060724092333840_1_S17131_I19462.nii.gzConfidences: 61.74, 21.07, 17.19
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20100313093708625_78_S81078_I167858.nii.gzConfidences: 79.07,  5.79, 15.14
pd        	ADNI_067_S_1253_MR_MPRAGE_br_raw_20070918083354698_98_S39391_I73477.nii.gzConfidences: 83.67, 12.15,  4.18
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE_-_48_slices__br_raw_20060725091106726_1_S17189_I19544.nii.gzConfidences: 18.59, 11.24, 70.17
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20101104125932265_45_S94274_I202610.nii.gzConfidences: 26.86,  2.34, 70.81
t2        	ADNI_005_S_0221_MR_Axial_PD_T2_FSE__br_raw_20070320145351422_1_S28458_I45702.nii.gzConfidences: 25.22,  5.22, 69.56
t2        	ADNI_027_S_4966_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130109212242239_25_S179760_I354458.nii.gzConfidences: 33.77, 14.41, 51.82
pd        	ADNI_032_S_0147_MR____________MPRAGE__br_raw_20070221181559616_1_S26882_I41233.nii.gzConfidences: 70.64, 15.82, 13.54
t2        	ADNI_027_S_4757_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130603151512399_8_S191210_I374946.nii.gzConfidences: 25.82, 30.63, 43.55
t2        	ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20080613143147159_1_S51537_I109472.nii.gzConfidences: 29.98, 14.19, 55.84
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20080505110246234_51_S49627_I104613.nii.gzConfidences: 33.78, 15.42, 50.80
pd        	ADNI_072_S_4769_MR_MPRAGE_br_raw_20140724122456758_173_S225769_I436601.nii.gzConfidences: 60.26, 35.55,  4.19
pd        	ADNI_073_S_4216_MR_MPRAGE_br_raw_20120306164112377_60_S142938_I288536.nii.gzConfidences: 76.54, 21.74,  1.72
t2        	ADNI_130_S_0956_MR_Axial_PD_T2_FSE__br_raw_20061022182816688_1_S20666_I27031.nii.gzConfidences: 30.32,  4.03, 65.65
pd        	ADNI_068_S_4274_MR_MPRAGE_br_raw_20120123092754891_58_S138139_I280057.nii.gzConfidences: 73.82, 15.54, 10.64
pd        	ADNI_006_S_4960_MR_MPRAGE_br_raw_20130507152033334_34_S188811_I371401.nii.gzConfidences: 67.33, 11.60, 21.07
t2        	ADNI_130_S_0102_MR_Axial_PD_T2_FSE__br_raw_20060802140510683_1_S17520_I20067.nii.gzConfidences: 34.30,  3.72, 61.98
pd        	ADNI_010_S_0422_MR_MPRAGE_br_raw_20070405103051916_79_S29319_I48188.nii.gzConfidences: 76.59, 14.19,  9.22
pd        	ADNI_130_S_4817_MR_MPRAGE_br_raw_20120703164355680_68_S156603_I314330.nii.gzConfidences: 79.12, 11.71,  9.16
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20070326094746455_98_S28899_I46724.nii.gzConfidences: 86.56, 13.37,  0.07
pd        	ADNI_130_S_4817_MR_MPRAGE_br_raw_20160726100308186_142_S487316_I761004.nii.gzConfidences: 72.75,  5.25, 22.00
pd        	ADNI_116_S_4195_MR_MPRAGE_br_raw_20130909124011588_40_S199962_I388747.nii.gzConfidences: 77.73, 19.14,  3.13
pd        	ADNI_041_S_4989_MR_MPRAGE_br_raw_20130430084007911_76_S180126_I354970.nii.gzConfidences: 51.15, 37.19, 11.66
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20080612092754828_86_S51463_I109282.nii.gzConfidences: 55.31, 44.55,  0.13
pd        	ADNI_073_S_4216_MR_MPRAGE_br_raw_20110831151449689_165_S120793_I253741.nii.gzConfidences: 80.07, 17.71,  2.22
pd        	ADNI_031_S_4590_MR_MPRAGE_br_raw_20140321150030934_131_S214640_I417560.nii.gzConfidences: 55.99, 25.86, 18.15
pd        	ADNI_072_S_2027_MR_MPRAGE_br_raw_20110218125238394_79_S100128_I218230.nii.gzConfidences: 62.86, 31.98,  5.16
pd        	ADNI_137_S_0994_MR_MPRAGE_br_raw_20141210165240800_171_S242838_I461110.nii.gzConfidences: 69.21, 30.62,  0.17
t2        	ADNI_057_S_5199_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130819134933342_11_S198138_I385932.nii.gzConfidences: 33.16, 31.33, 35.52
t2        	ADNI_130_S_0956_MR_Axial_PD_T2_FSE__br_raw_20071101101629749_13_S42128_I80091.nii.gzConfidences: 28.58,  5.06, 66.36
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20071004094048628_1_S40953_I76776.nii.gzConfidences: 22.65,  7.32, 70.03
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20080604085848702_1_S50989_I108358.nii.gzConfidences: 40.40, 15.41, 44.18
pd        	ADNI_020_S_4619_MR_MPRAGE_br_raw_20120419073120435_94_S147630_I298388.nii.gzConfidences: 67.21, 17.82, 14.97
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20130222145703347_81_S166722_I332637.nii.gzConfidences: 79.67, 13.52,  6.81
t2        	ADNI_027_S_5110_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130703125427252_25_S193579_I378423.nii.gzConfidences: 32.18, 29.55, 38.28
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20080115141226375_1_S44565_I87422.nii.gzConfidences: 33.60,  8.57, 57.83
pd        	ADNI_036_S_4894_MR_MPRAGE_br_raw_20130827143256292_140_S199369_I387580.nii.gzConfidences: 67.59, 31.03,  1.39
pd        	ADNI_073_S_5023_MR_MPRAGE_br_raw_20130404093643112_103_S185900_I365441.nii.gzConfidences: 67.77, 26.60,  5.63
t2        	ADNI_031_S_0321_MR_FSE_PD_T2__br_raw_20061102154648515_1_S21845_I28545.nii.gzConfidences: 16.40,  9.33, 74.27
t2        	ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20070109132800956_1_S24856_I35610.nii.gzConfidences: 24.63,  6.24, 69.13
pd        	ADNI_009_S_4741_MR_MPRAGE_br_raw_20120614105346910_172_S153990_I310556.nii.gzConfidences: 91.12,  7.59,  1.29
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20070216001752401_1_S26560_I40475.nii.gzConfidences: 32.30,  9.27, 58.44
pd        	ADNI_035_S_4114_MR_MPRAGE_br_raw_20160826112041595_1_S494136_I769854.nii.gzConfidences: 82.83,  9.00,  8.17
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_20060314125748278_1_S12166_I11938.nii.gzConfidences: 19.13,  3.83, 77.04
pd        	ADNI_036_S_2378_MR_MPRAGE_br_raw_20150810143859930_112_S268460_I504710.nii.gzConfidences: 64.14, 29.07,  6.79
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20070724163001586_98_S36309_I62031.nii.gzConfidences: 84.71, 13.72,  1.57
pd        	ADNI_016_S_1263_MR_MPRAGE_br_raw_20070301130540411_98_S27304_I42082.nii.gzConfidences: 83.23, 13.94,  2.83
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20100318151610406_155_S81262_I168101.nii.gzConfidences: 73.07, 23.94,  2.98
t2        	ADNI_006_S_0521_MR_Axial_PD_T2_FSE__br_raw_20060627144055906_1_S15874_I17533.nii.gzConfidences: 38.32, 11.40, 50.28
pd        	ADNI_133_S_0913_MR_MPRAGE_br_raw_20070719101719239_1_S35301_I60862.nii.gzConfidences: 75.48, 23.03,  1.50
pd        	ADNI_941_S_4187_MR_MPRAGE_br_raw_20130911142431936_4_S200331_I389469.nii.gzConfidences: 70.39, 22.19,  7.42
t2        	ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20100915132630274_19_S92132_I192830.nii.gzConfidences: 26.74, 10.20, 63.06
pd        	ADNI_013_S_4268_MR_MPRAGE_br_raw_20121126133540005_134_S175407_I347751.nii.gzConfidences: 61.73, 19.06, 19.20
pd        	ADNI_128_S_4745_MR_MPRAGE_br_raw_20120608092649693_147_S153274_I308772.nii.gzConfidences: 77.16, 21.25,  1.59
t2        	ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20061212094052438_1_S23820_I32628.nii.gzConfidences: 20.84,  9.17, 69.99
pd        	ADNI_130_S_4817_MR_MPRAGE_br_raw_20150603131414841_84_S261963_I495752.nii.gzConfidences: 70.33, 12.08, 17.59
pd        	ADNI_036_S_4715_MR_MPRAGE_br_raw_20120703143458972_101_S156499_I314185.nii.gzConfidences: 81.58, 16.43,  1.99
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20080905140703889_95_S56233_I117520.nii.gzConfidences: 73.71, 23.64,  2.66
pd        	ADNI_014_S_4039_MR_MPRAGE_br_raw_20120607123904597_132_S153144_I308620.nii.gzConfidences: 85.88, 12.34,  1.78
pd        	ADNI_041_S_0679_MR_MPRAGE_br_raw_20080201090027105_98_S45243_I89201.nii.gzConfidences: 84.93,  6.22,  8.84
t2        	ADNI_053_S_1044_MR_Axial_PD_T2_FSE__br_raw_20071122091816546_1_S42958_I82983.nii.gzConfidences: 28.90,  5.73, 65.38
t2        	ADNI_128_S_0522_MR_FSE_PD_T2__br_raw_20060521181017592_97_S14789_I15816.nii.gzConfidences: 14.87,  5.32, 79.80
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20060726085037577_95_S17250_I19635.nii.gzConfidences: 23.79,  3.04, 73.17
t2        	ADNI_037_S_0627_MR_FSE_PD_T2__br_raw_20070904145457732_95_S38782_I71223.nii.gzConfidences: 21.57, 12.07, 66.36
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20070827114325887_1_S38409_I70346.nii.gzConfidences: 12.99,  8.28, 78.73
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20061006133414430_47_S19820_I25897.nii.gzConfidences: 31.93,  2.60, 65.47
t2        	ADNI_094_S_1330_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070223104121970_103_S27037_I41490.nii.gzConfidences: 31.06,  3.53, 65.41
pd        	ADNI_941_S_4187_MR_MPRAGE_br_raw_20120229162202283_139_S142109_I287138.nii.gzConfidences: 67.40, 28.12,  4.47
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20080402103716534_83_S47804_I100102.nii.gzConfidences: 16.80,  5.25, 77.95
t2        	ADNI_031_S_0321_MR_FSE_PD_T2__br_raw_20061003110642875_1_S12367_I12269.nii.gzConfidences: 16.80,  7.98, 75.22
pd        	ADNI_072_S_2027_MR_MPRAGE_br_raw_20110822120616957_61_S119850_I252038.nii.gzConfidences: 69.66, 26.84,  3.50
pd        	ADNI_003_S_1057_MR_MPRAGE_br_raw_20080225152023802_98_S46176_I92523.nii.gzConfidences: 73.56, 11.01, 15.43
pd        	ADNI_051_S_1072_MR_MPRAGE_br_raw_20071213113903625_98_S43798_I84916.nii.gzConfidences: 81.87, 11.75,  6.38
t2        	ADNI_053_S_0621_MR_Axial_PD_T2_FSE__br_raw_20060613091657703_1_S15439_I16861.nii.gzConfidences: 17.04,  7.92, 75.04
pd        	ADNI_013_S_2389_MR_MPRAGE_br_raw_20110920161639189_36_S122818_I257110.nii.gzConfidences: 56.89, 25.02, 18.09
t2        	ADNI_006_S_0521_MR_Axial_PD_T2_FSE__br_raw_20060627144044765_1_S15875_I17534.nii.gzConfidences: 21.19,  6.87, 71.93
pd        	ADNI_041_S_1412_MR_MPRAGE_br_raw_20070626110738546_126_S34022_I57763.nii.gzConfidences: 83.12,  4.59, 12.29
pd        	ADNI_032_S_0147_MR____________MPRAGE__br_raw_20060927180822202_1_S19427_I25239.nii.gzConfidences: 73.98, 13.97, 12.04
pd        	ADNI_130_S_4982_MR_MPRAGE_br_raw_20121023145728820_6_S171800_I341787.nii.gzConfidences: 75.40, 20.75,  3.85
t2        	ADNI_021_S_0273_MR_Axial_PD_T2_FSE__br_raw_20080402103841216_57_S47803_I100101.nii.gzConfidences: 19.73,  5.22, 75.04
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20071120074608992_1_S42870_I82812.nii.gzConfidences: 35.21,  8.70, 56.10
t1        	ADNI_126_S_4514_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130221154019522_5_S182873_I360948.nii.gzConfidences: 34.66, 40.19, 25.15
t2        	ADNI_136_S_0579_MR_Axial_PD_T2_FSE__br_raw_20070625154846812_93_S33990_I57705.nii.gzConfidences: 27.35, 14.20, 58.45
t2        	ADNI_094_S_1402_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071112163243935_1_S42559_I81700.nii.gzConfidences: 21.32,  3.74, 74.95
pd        	ADNI_020_S_4920_MR_MPRAGE_br_raw_20131125131346542_16_S206703_I399446.nii.gzConfidences: 81.89, 12.81,  5.30
t1        	ADNI_109_S_4594_MR_AXIAL_T2-FSE_WITH_FAT_SAT__br_raw_20160503145230944_9_S433142_I698535.nii.gzConfidences: 33.28, 36.18, 30.54
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20070606084927650_95_S33055_I56053.nii.gzConfidences: 21.50, 15.09, 63.41
pd        	ADNI_068_S_2187_MR_MPRAGE_br_raw_20110222150748297_171_S100273_I219045.nii.gzConfidences: 61.76, 26.27, 11.97
t2        	ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20090324115717125_1_S64944_I139666.nii.gzConfidences: 30.66, 12.38, 56.96
pd        	ADNI_002_S_1155_MR_MPRAGE_br_raw_20111222134251188_159_S134623_I274154.nii.gzConfidences: 71.14, 22.55,  6.31
t2        	ADNI_027_S_5118_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140422160342342_34_S216746_I421200.nii.gzConfidences: 33.18, 29.96, 36.87
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20101014132152347_73_S93322_I196476.nii.gzConfidences: 28.87, 12.56, 58.57
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20071025144457796_27_S41933_I78537.nii.gzConfidences: 23.93,  1.97, 74.10
pd        	ADNI_031_S_4029_MR_MPRAGE_br_raw_20111110170910078_119_S128917_I265965.nii.gzConfidences: 54.51, 21.50, 23.99
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20070314125122828_63_S28081_I44672.nii.gzConfidences: 84.41,  9.75,  5.84
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20070221225107593_50_S26890_I41244.nii.gzConfidences: 70.68,  7.71, 21.61
t2        	ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20080625142623335_1_S51819_I110069.nii.gzConfidences: 34.85,  5.65, 59.50
pd        	ADNI_068_S_4274_MR_MPRAGE_br_raw_20111011091638224_71_S125012_I260437.nii.gzConfidences: 81.44, 13.22,  5.34
pd        	ADNI_041_S_4271_MR_MPRAGE_br_raw_20121022135116245_124_S171629_I341559.nii.gzConfidences: 71.00, 27.76,  1.24
t2        	ADNI_033_S_0513_MR_Axial_PD_T2_FSE__br_raw_20060518142856047_1_S14672_I15621.nii.gzConfidences: 34.92,  3.38, 61.70
pd        	ADNI_031_S_4029_MR_MPRAGE_br_raw_20130426123811672_130_S188073_I368904.nii.gzConfidences: 51.31, 15.83, 32.86
t2        	ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20070913161207774_1_S39262_I73136.nii.gzConfidences: 23.29, 12.81, 63.90
pd        	ADNI_067_S_4310_MR_MPRAGE_br_raw_20120517153751781_67_S150940_I305133.nii.gzConfidences: 57.91, 38.75,  3.35
pd        	ADNI_036_S_4715_MR_MPRAGE_br_raw_20130607095621719_10_S191631_I375534.nii.gzConfidences: 76.84, 21.50,  1.65
t2        	ADNI_133_S_0525_MR_Axial_PD_T2_FSE__br_raw_20070207131942698_1_S26011_I38357.nii.gzConfidences: 29.25, 11.66, 59.09
t2        	ADNI_127_S_0112_MR_Axial_PD_T2_FSE__br_raw_20060127120711372_1_S11193_I10418.nii.gzConfidences: 24.39, 11.88, 63.73
pd        	ADNI_099_S_0958_MR_MPRAGE_br_raw_20130418083020260_62_S187330_I367798.nii.gzConfidences: 90.43,  8.11,  1.46
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20110107162008642_106_S97274_I209965.nii.gzConfidences: 71.51, 20.02,  8.47
